candidate_id,canonical_company_name,registrable_domain,capability_groups,sme_evidence_status,size_evidence,primary_evidence_url,primary_page_sha256,independent_confirmation_url,independent_source_sha256,verification_confidence,verified_at
review-61643b087331d511cce9,Allwin21 Corporation,allwin21.com,"[""deposition"", ""etch"", ""metrology"", ""thermal_processing""]",probable_sme,14 employees; 11-50 range,https://allwin21.com/rapid-thermal-processing-rtp,26f75c2f830d702f29a3b66902576d0b3fdfc8a6418bbfb51c397fe17c7c476a,https://leadiq.com/c/allwin21-corp/5a1da6b82300005b009a008d,8e90b443017ba6dc62b5c76129a0c71e7c175f977eac35f800b3eea7c64a8ec5,medium,2026-07-29
review-e4bd2c399ef25045b41f,Applied Energy Systems Inc.,appliedenergysystems.com,"[""deposition"", ""etch"", ""gas_delivery""]",unknown,none,https://www.appliedenergysystems.com/powering-precision-rising-demand-for-uhp-gases-semiconductor-manufacturing,56e67c336b40f112881d18e763c793870177375de4cf335ddff6a740ca3a255e,https://us.metoree.com/companies/152096,3611e0532b7788bb676613f1dfa1938e75c7fae2acfd09579b721539df14d77a,high,2026-07-29
review-013894d4e1c84e761383,Boston Semi Equipment LLC,bostonsemiequipment.com,"[""test""]",probable_sme,103 employees; 51-200 range,https://bostonsemiequipment.com/,efd8718e142d930da786c090503355e2f4fcd7102f15171d7b06a2333ccf2e88,https://leadiq.com/c/boston-semi-equipment/5a1d98ba2300005b00875cd3,a5652fa1da071fd3c135267ac6c6216eb18be8df249d45cec2783c179db37212,medium,2026-07-29
review-d2a25cb28e509719a435,Bruker Corporation,bruker.com,"[""cmp"", ""etch"", ""metrology"", ""wet_processing""]",not_sme,none,https://www.bruker.com/en/products-and-solutions/semiconductor-solutions.html,bc3186cf044b064e578cb94e1b1dce95f7df737ed6810074dd600ff3f15b35ea,https://us.metoree.com/companies/295,3a83307329a75987c60555435c31e3ff8b50154e62a99b073861dad50bb5f3bd,high,2026-07-29
review-cb7744b57b01abc9b1cd,C-Hawk Technology Inc.,c-hawk.com,"[""deposition"", ""etch"", ""gas_delivery"", ""metrology""]",unknown,none,https://c-hawk.com/capability/ultra-high-purity-weldments,560be5cdd27f9cd5eec0f6f6085e4a5d3ef461bf830ad5193b387120d342d96e,https://www.cbinsights.com/company/chawk-technology,2fabd8cb6fc23cd8746bfb30e706bea1a8bbad035b5612004b41f0f411dc2426,medium,2026-07-29
review-ed4625807559483ef6bd,Cabot Corporation,cabotcorp.com,"[""cmp""]",not_sme,none,https://www.cabotcorp.com/solutions/applications/digitalization/chemical-mechanical-planarization,2ad013a24b12355438808a5874f0f7e62f6933505b1e30a83d5cd0e18d375f8e,https://us.metoree.com/companies/154219,c023874e703d9a2ce2385c08033066d8a1ec90ba883662a69b201ca28a78b3a9,high,2026-07-29
review-cdfb3dcf87389cd6a639,Chemcut Corporation,chemcut.net,"[""cmp"", ""etch"", ""lithography"", ""wet_processing""]",unknown,none,https://www.chemcut.net/industries-served/semiconductors-semi,1e56987b9df02beba7a4bd63fc26205285ec2d7cbe34bf579f6ccae7704a640e,https://us.metoree.com/companies/154941,0ebfc204efcc95a87fe1462800305ae579e2469fb6b4c32db316472517addd84,high,2026-07-29
review-ff244414e150cba4e9fd,CoorsTek Inc.,coorstek.com,"[""cmp"", ""deposition"", ""etch"", ""lithography"", ""metrology"", ""thermal_processing"", ""wafer_handling""]",not_sme,none,https://www.coorstek.com/en/industries/semiconductor,5acbe70e08816d7c838fd1a99625b3d7e172de74f7b3fa1260119e75a3958abd,https://us.metoree.com/companies/140833,8a52ec03eb464846dd86f76e0765565b7e6237df19021e1960eff5cc268e2499,high,2026-07-29
review-de6a41c98bcd3feb1229,Critical Systems Inc.,criticalsystemsinc.com,"[""deposition"", ""gas_delivery"", ""metrology""]",unknown,none,https://www.criticalsystemsinc.com/,80ad108056f0e274d7822c7df09e3cb8a901ee050cf0bfa6f559474d572257d8,https://www.mapquest.com/us/idaho/critical-systems-365273324,09cc0a2112fefe26220b1663494930857bbe30218456894770574db9734128ef,medium,2026-07-29
review-f5318b9582d0c8a60a9c,Entrepix Inc.,entrepix.com,"[""cmp"", ""metrology"", ""thermal_processing"", ""wet_processing""]",probable_sme,36 employees; 11-50 range,https://www.entrepix.com/about-1,03e7d5deaede9cf142bbefbcdf8fe65620c21f501c2d59debee476a799be9379,https://leadiq.com/c/entrepix/5a1d82ae24000024005d47a8,49b23a99f4be98ba8034ff307b0e6e578f400d6311c57e78a611a1effcb395e7,medium,2026-07-29
